tableNumber,game_id,smallBlind,playerName,chips
120,20180731124707974,320,ea8bb19d0db6e3db8ef698b71fa02c00,14623
120,20180731124707974,320,f645dbf9ad4f32c0a56eb748d1165698,0
120,20180731124707974,320,2a036e96c194fcba5a5ca6b58f104777,0
120,20180731124707974,320,d8eee6d0160383ad768dc20f89e6ad75,0
120,20180731124707974,320,90522f246beadc614bc5da80454f2d93,8651
120,20180731124707974,320,c31baa6bd54bc9294551ed18677f1fa3,20
120,20180731124707974,320,cc9370544676f54cdabc4acd1cfc1856,706
120,20180731124707974,320,f725e061dbaeaf73275b003263061eb1,0
146,20180731130023205,320,49769bb6e5b5a781f317fb4846fb3176,0
146,20180731130023205,320,596c1eb5a893719556acf007b8a25ea5,7697
146,20180731130023205,320,5eddc047e939ad89ea4bf7271a862d5a,1110
146,20180731130023205,320,90522f246beadc614bc5da80454f2d93,0
146,20180731130023205,320,f725e061dbaeaf73275b003263061eb1,0
146,20180731130023205,320,ea8bb19d0db6e3db8ef698b71fa02c00,9193
172,20180731131146973,320,c31baa6bd54bc9294551ed18677f1fa3,0
172,20180731131146973,320,44940fbfcd1d1dd162ea320e61f35c79,2187
172,20180731131146973,320,596c1eb5a893719556acf007b8a25ea5,0
172,20180731131146973,320,90522f246beadc614bc5da80454f2d93,5836
172,20180731131146973,320,f725e061dbaeaf73275b003263061eb1,9977
172,20180731131146973,320,ea8bb19d0db6e3db8ef698b71fa02c00,0
243,20180731134149272,320,e9934a83f62596b1518719930c42a344,5298
243,20180731134149272,320,ea8bb19d0db6e3db8ef698b71fa02c00,0
243,20180731134149272,320,b0a5997c13bbadf52c24e377e8baf410,9702
243,20180731134149272,320,edb184406aff08423674a5d66c155fc7,0
243,20180731134149272,320,56eff69b2407a5224099a0f57dbb9cac,0
259,20180731134902496,40,8b2b0a15f1929028741c23b62b1890a9,0
259,20180731134902496,40,146a881f052a76cc345de5fe4d75520d,0
259,20180731134902496,40,b0a5997c13bbadf52c24e377e8baf410,14239
259,20180731134902496,40,56eff69b2407a5224099a0f57dbb9cac,0
259,20180731134902496,40,ea8bb19d0db6e3db8ef698b71fa02c00,761
267,20180731135156289,80,641a3be68c4c5a9cbf327206caa466e9,0
267,20180731135156289,80,b0a5997c13bbadf52c24e377e8baf410,0
267,20180731135156289,80,56eff69b2407a5224099a0f57dbb9cac,8245
267,20180731135156289,80,8b2b0a15f1929028741c23b62b1890a9,0
267,20180731135156289,80,146a881f052a76cc345de5fe4d75520d,7834
267,20180731135156289,80,ea8bb19d0db6e3db8ef698b71fa02c00,1921
