game_id,round_id,turn_id,roundName,playerName,chips,reloadCount,position,pot,bet,action,amount
,0,1,Deal,63161ce75141fa3603a231b1c8b9cd75,940,0,3,90,20,call,20
,0,2,Deal,8c94134f25efe7680f9743b2774e8e1f,600,0,4,110,20,call,20
,0,3,Deal,4144e097d2fa7a491cec2a7a4322f2bc,960,0,5,110,0,fold,0
,0,4,Deal,4bba3ab232fc6c57e7dbb1f5932b61d0,580,0,6,130,20,call,20
,0,5,Deal,66af1fc97570a318833f295a60193216,580,0,D,150,20,call,20
,0,6,Deal,ヽ(=^･ω･^=)丿,2660,0,SB,160,20,call,10
,0,7,Deal,6ba89ab41823af9b65ea5d233031b9f8,2660,2,BB,160,20,call,0
,0,8,Flop,ヽ(=^･ω･^=)丿,2660,0,SB,160,0,check,0
,0,9,Flop,6ba89ab41823af9b65ea5d233031b9f8,2640,2,BB,180,20,bet,20
,0,10,Flop,3a50c1151e7e4f1de5a6ecf60feb6b9c,2920,2,1,200,20,call,20
,0,11,Flop,3b2911d7bf58bdc5f03753fc97d59fd7,920,0,2,200,0,fold,0
,0,12,Flop,63161ce75141fa3603a231b1c8b9cd75,940,0,3,200,0,fold,0
,0,13,Flop,8c94134f25efe7680f9743b2774e8e1f,580,0,4,220,20,call,20
,0,14,Flop,4bba3ab232fc6c57e7dbb1f5932b61d0,580,0,6,220,0,fold,0
,0,15,Flop,66af1fc97570a318833f295a60193216,560,0,D,240,20,call,20
,0,16,Flop,ヽ(=^･ω･^=)丿,2640,0,SB,260,20,call,20
,0,17,Turn,ヽ(=^･ω･^=)丿,2640,0,SB,260,0,fold,0
,0,18,Turn,6ba89ab41823af9b65ea5d233031b9f8,2620,2,BB,280,20,bet,20
,0,19,Turn,3a50c1151e7e4f1de5a6ecf60feb6b9c,2900,2,1,300,20,call,20
,0,20,Turn,8c94134f25efe7680f9743b2774e8e1f,560,0,4,320,20,call,20
,0,21,Turn,66af1fc97570a318833f295a60193216,560,0,D,320,0,fold,0
,0,22,River,6ba89ab41823af9b65ea5d233031b9f8,2600,2,BB,340,20,bet,20
,0,23,River,3a50c1151e7e4f1de5a6ecf60feb6b9c,2880,2,1,360,20,call,20
,0,24,River,8c94134f25efe7680f9743b2774e8e1f,520,0,4,400,40,raise,40
,0,25,River,6ba89ab41823af9b65ea5d233031b9f8,2580,2,BB,420,40,call,20
,0,26,River,3a50c1151e7e4f1de5a6ecf60feb6b9c,2860,2,1,440,40,call,20
,1,1,Deal,3b2911d7bf58bdc5f03753fc97d59fd7,900,0,1,50,20,call,20
,1,2,Deal,63161ce75141fa3603a231b1c8b9cd75,920,0,2,70,20,call,20
,1,3,Deal,8c94134f25efe7680f9743b2774e8e1f,500,0,3,90,20,call,20
,1,4,Deal,4144e097d2fa7a491cec2a7a4322f2bc,940,0,4,110,20,call,20
,1,5,Deal,4bba3ab232fc6c57e7dbb1f5932b61d0,560,0,5,130,20,call,20
,1,6,Deal,66af1fc97570a318833f295a60193216,560,0,6,130,0,fold,0
,1,7,Deal,ヽ(=^･ω･^=)丿,2620,0,D,150,20,call,20
,1,8,Deal,6ba89ab41823af9b65ea5d233031b9f8,2560,2,SB,160,20,call,10
,1,9,Deal,3a50c1151e7e4f1de5a6ecf60feb6b9c,3280,2,BB,160,20,fold,0
,1,10,Flop,6ba89ab41823af9b65ea5d233031b9f8,2540,2,SB,180,20,bet,20
,1,11,Flop,3b2911d7bf58bdc5f03753fc97d59fd7,900,0,1,180,0,fold,0
,1,12,Flop,63161ce75141fa3603a231b1c8b9cd75,920,0,2,180,0,fold,0
,1,13,Flop,8c94134f25efe7680f9743b2774e8e1f,460,0,3,220,40,raise,40
,1,14,Flop,4144e097d2fa7a491cec2a7a4322f2bc,900,0,4,260,40,call,40
,1,15,Flop,4bba3ab232fc6c57e7dbb1f5932b61d0,560,0,5,260,0,fold,0
,1,16,Flop,ヽ(=^･ω･^=)丿,2620,0,D,260,0,fold,0
,1,17,Flop,6ba89ab41823af9b65ea5d233031b9f8,2520,2,SB,280,40,call,20
,1,18,Turn,6ba89ab41823af9b65ea5d233031b9f8,2500,2,SB,300,20,bet,20
,1,19,Turn,8c94134f25efe7680f9743b2774e8e1f,0,0,3,760,460,allin,460
,1,20,Turn,4144e097d2fa7a491cec2a7a4322f2bc,440,0,4,1220,460,call,460
,1,21,Turn,6ba89ab41823af9b65ea5d233031b9f8,2500,2,SB,1220,20,fold,0
,2,1,Deal,63161ce75141fa3603a231b1c8b9cd75,920,0,1,30,0,fold,0
,2,2,Deal,8c94134f25efe7680f9743b2774e8e1f,1000,1,2,30,0,fold,0
,2,3,Deal,4144e097d2fa7a491cec2a7a4322f2bc,1660,0,3,30,0,fold,0
,2,4,Deal,4bba3ab232fc6c57e7dbb1f5932b61d0,540,0,4,50,20,call,20
,2,5,Deal,66af1fc97570a318833f295a60193216,540,0,5,70,20,call,20
,2,6,Deal,ヽ(=^･ω･^=)丿,2600,0,6,90,20,call,20
,2,7,Deal,6ba89ab41823af9b65ea5d233031b9f8,2480,2,D,110,20,call,20
,2,8,Deal,3a50c1151e7e4f1de5a6ecf60feb6b9c,3260,2,SB,120,20,call,10
,2,9,Deal,3b2911d7bf58bdc5f03753fc97d59fd7,880,0,BB,120,20,call,0
,2,10,Flop,3a50c1151e7e4f1de5a6ecf60feb6b9c,3160,2,SB,220,100,bet,100
,2,11,Flop,3b2911d7bf58bdc5f03753fc97d59fd7,680,0,BB,420,200,raise,200
,2,12,Flop,4bba3ab232fc6c57e7dbb1f5932b61d0,540,0,4,420,0,fold,0
,2,13,Flop,66af1fc97570a318833f295a60193216,340,0,5,620,200,call,200
,2,14,Flop,ヽ(=^･ω･^=)丿,2400,0,6,820,200,call,200
,2,15,Flop,6ba89ab41823af9b65ea5d233031b9f8,2480,2,D,820,0,fold,0
,2,16,Flop,3a50c1151e7e4f1de5a6ecf60feb6b9c,0,2,SB,3980,3260,allin,3160
,2,17,Flop,3b2911d7bf58bdc5f03753fc97d59fd7,0,0,BB,4660,880,allin,680
,2,18,Flop,66af1fc97570a318833f295a60193216,0,0,5,5000,540,allin,340
,2,19,Flop,ヽ(=^･ω･^=)丿,2400,0,6,5000,200,fold,0
,3,1,Deal,8c94134f25efe7680f9743b2774e8e1f,980,1,1,50,20,call,20
,3,2,Deal,4144e097d2fa7a491cec2a7a4322f2bc,1660,0,2,50,0,fold,0
,3,3,Deal,4bba3ab232fc6c57e7dbb1f5932b61d0,520,0,3,70,20,call,20
